TCODE,TIMESTAMP,FREQ,BW,TXID,AMP,DEVCNT,X,Y,Z,TLW
501,2015-08-19T15:38:40,2412000000,22000000,2956055188205077493,-74.0,1,75.18,11.62,0.0,0
502,2015-08-19T15:38:40,2412000000,22000000,2249551794131043464,-78.0,2,19.980120616,57.566697892,0.0,0
502,2015-08-19T15:38:40,2412000000,22000000,3840169614833681540,-86.0,3,42.3391394362,38.5339317218,0.0,0
502,2015-08-19T15:38:40,2412000000,22000000,3840169614827193480,-80.0,3,25.6262596984,53.266471378,0.0,0
502,2015-08-19T15:38:40,2412000000,22000000,2848812985857999950,-36.0,2,36.7090144745,35.339953414,0.0,0
502,2015-08-19T15:38:40,2412000000,22000000,3840169614769521742,-33.7777786255,4,34.4104850185,34.5398641414,0.0,0
502,2015-08-19T15:38:40,2412000000,22000000,2708356959627183185,-64.0,4,24.8205210753,29.8075155919,0.0,0
502,2015-08-19T15:38:40,2412000000,22000000,2592107549399843918,-32.6666679382,4,35.2425881421,33.9655934019,0.0,0
502,2015-08-19T15:38:40,2412000000,22000000,2412244974914897032,-88.0,1,37.71,34.01,0.0,0
502,2015-08-19T15:38:40,2412000000,22000000,2368052961189692552,-86.0,1,37.71,34.01,0.0,0
502,2015-08-19T15:38:40,2412000000,22000000,3840169614742455317,-83.0,1,12.12,68.01,0.0,0
503,2015-08-19T15:38:40,2412000000,22000000,2293743807856247944,-82.0,1,12.12,68.01,0.0,0
503,2015-08-19T15:38:40,2412000000,22000000,2654313588036535428,-86.0,1,37.71,34.01,0.0,0
503,2015-08-19T15:38:40,2412000000,22000000,3840169614827193480,-82.2758636475,2,22.2025037979,54.6139418082,0.0,0
503,2015-08-19T15:38:40,2412000000,22000000,2592107549399843918,-48.0,1,4.33,21.15,0.0,0
503,2015-08-19T15:38:40,2412000000,22000000,3840169614769521742,-32.0,4,35.8757383612,34.1793154649,0.0,0
503,2015-08-19T15:38:40,2412000000,22000000,2708356959627183185,-63.0,4,23.8523519695,32.194807013,0.0,0
503,2015-08-19T15:38:40,2412000000,22000000,2848812985857999950,-35.0,3,35.8624862683,33.0100580609,0.0,0
503,2015-08-19T15:38:40,2412000000,22000000,3840169614833681540,-87.111114502,1,12.12,68.01,0.0,0
503,2015-08-19T15:38:40,2412000000,22000000,2412244974914897032,-82.0,2,20.7120954092,56.5941639737,0.0,0
503,2015-08-19T15:38:40,2412000000,22000000,2956055188205077493,-74.0,1,75.18,11.62,0.0,0
504,2015-08-19T15:38:40,2412000000,22000000,2654313588036535428,-84.0,2,22.7535800203,53.8817576909,0.0,0
504,2015-08-19T15:38:40,2412000000,22000000,3840169614827193480,-82.0,2,22.7535800203,53.8817576909,0.0,0
504,2015-08-19T15:38:40,2412000000,22000000,3840169614769521742,-32.5999984741,4,35.6611427124,34.3234500295,0.0,0
504,2015-08-19T15:38:40,2412000000,22000000,2848812985857999950,-34.6666679382,2,37.0110122777,34.9387058444,0.0,0
504,2015-08-19T15:38:40,2412000000,22000000,2708356959627183185,-62.5,4,32.0996284773,32.60651975,0.0,0
504,2015-08-19T15:38:40,2412000000,22000000,2956055188205077493,-74.0,1,75.18,11.62,0.0,0
504,2015-08-19T15:38:40,2412000000,22000000,3840169614833681540,-86.0,1,12.12,68.01,0.0,0
504,2015-08-19T15:38:40,2412000000,22000000,2824887591420429448,-82.0,1,12.12,68.01,0.0,0
505,2015-08-19T15:38:41,2412000000,22000000,2670921200072983684,-88.0,1,12.12,68.01,0.0,0
505,2015-08-19T15:38:41,2412000000,22000000,2848812985739314019,-34.0,3,34.9568915445,34.2671680997,0.0,0
505,2015-08-19T15:38:41,2412000000,22000000,2654313588036535428,-88.0,1,75.18,11.62,0.0,0
505,2015-08-19T15:38:41,2412000000,22000000,2983921193709863973,-78.0,1,75.18,11.62,0.0,0
505,2015-08-19T15:38:41,2412000000,22000000,3840169614827193480,-84.0,1,12.12,68.01,0.0,0
