TCODE,TIMESTAMP,FREQ,BW,TXID,AMP,DEVCNT,X,Y,Z,TLW
18,2015-08-20T15:48:34,2412000000,22000000,2848812985857999950,-37.5714302063,6,36,34,0,0
18,2015-08-20T15:48:34,2412000000,22000000,2824887591420429448,-60.0,2,100,64,0,0
18,2015-08-20T15:48:34,2412000000,22000000,2249551794131043464,-57.0833320618,4,97,63,0,0
19,2015-08-20T15:48:34,2412000000,22000000,2249551794131043464,-56.2000007629,5,98,63,0,0
19,2015-08-20T15:48:34,2412000000,22000000,2413089193686598792,-58.0,2,100,64,0,0
19,2015-08-20T15:48:34,2412000000,22000000,3840169614833681540,-66.0,4,92,64,0,0
19,2015-08-20T15:48:34,2412000000,22000000,3840169614827193480,-57.0,5,99,63,0,0
19,2015-08-20T15:48:34,2412000000,22000000,2293743807856247944,-56.0,2,100,63,0,0
19,2015-08-20T15:48:34,2412000000,22000000,2848812985857999950,-52.0,3,24,19,0,0
19,2015-08-20T15:48:34,2412000000,22000000,2708356959627183185,-65.0,1,75,11,0,0
19,2015-08-20T15:48:34,2412000000,22000000,3840169614769521742,-33.4285697937,6,37,33,0,0
19,2015-08-20T15:48:34,2412000000,22000000,2263625757714941064,-58.0,2,100,64,0,0
19,2015-08-20T15:48:34,2412000000,22000000,2412244974914897032,-58.0,5,96,62,0,0
19,2015-08-20T15:48:34,2412000000,22000000,2670921200066495624,-58.0,2,100,63,0,0
20,2015-08-20T15:48:34,2412000000,22000000,2824887591420429448,-60.0,1,102,63,0,0
20,2015-08-20T15:48:34,2412000000,22000000,2848812985739314019,-58.0,2,78,17,0,0
20,2015-08-20T15:48:34,2412000000,22000000,3840169614833681540,-66.0,3,95,65,0,0
20,2015-08-20T15:48:34,2412000000,22000000,2708356959627183185,-63.0,2,72,13,0,0
20,2015-08-20T15:48:34,2412000000,22000000,2293743807856247944,-56.0,2,101,62,0,0
20,2015-08-20T15:48:34,2412000000,22000000,2848812985857999950,-37.2121200562,6,35,34,0,0
20,2015-08-20T15:48:34,2412000000,22000000,3840169614827193480,-56.0,5,99,63,0,0
20,2015-08-20T15:48:34,2412000000,22000000,2412244974880883762,-90.0,1,71,86,0,0
20,2015-08-20T15:48:34,2412000000,22000000,3840169614769521742,-32.0499992371,6,37,34,0,0
20,2015-08-20T15:48:34,2412000000,22000000,2249551794131043464,-74.0,1,71,86,0,0
20,2015-08-20T15:48:34,2412000000,22000000,2412244974914897032,-58.0,2,101,62,0,0
21,2015-08-20T15:48:34,2412000000,22000000,2824887591420429448,-78.0,1,71,86,0,0
21,2015-08-20T15:48:34,2412000000,22000000,2848812985739314019,-36.0,3,37,34,0,0
21,2015-08-20T15:48:34,2412000000,22000000,3840169614833681540,-66.0,3,83,65,0,0
21,2015-08-20T15:48:34,2412000000,22000000,3840169614827193480,-58.0,5,97,63,0,0
21,2015-08-20T15:48:34,2412000000,22000000,2848812985857999950,-37.5,6,35,33,0,0
21,2015-08-20T15:48:34,2412000000,22000000,2708356959627183185,-62.0,3,69,13,0,0
21,2015-08-20T15:48:34,2412000000,22000000,3840169614793180210,-94.0,1,102,63,0,0
21,2015-08-20T15:48:34,2412000000,22000000,3840169614769521742,-32.2222213745,6,36,35,0,0
21,2015-08-20T15:48:34,2412000000,22000000,2412244974914897032,-78.0,1,71,86,0,0
21,2015-08-20T15:48:34,2412000000,22000000,2293743807856247944,-76.0,1,71,86,0,0
22,2015-08-20T15:48:34,2412000000,22000000,2824887591420429448,-60.0,1,102,63,0,0
22,2015-08-20T15:48:34,2412000000,22000000,3840169614793180210,-90.0,1,71,86,0,0
22,2015-08-20T15:48:34,2412000000,22000000,3840169614833681540,-66.3333358765,4,94,64,0,0
22,2015-08-20T15:48:34,2412000000,22000000,2708356959627183185,-61.4782600403,2,72,12,0,0
22,2015-08-20T15:48:34,2412000000,22000000,2249551794131043464,-56.75,3,100,62,0,0
22,2015-08-20T15:48:34,2412000000,22000000,2412244974880883762,-90.0,1,71,86,0,0
22,2015-08-20T15:48:34,2412000000,22000000,2848812985857999950,-51.4222221375,4,28,26,0,0
22,2015-08-20T15:48:34,2412000000,22000000,3840169614827193480,-58.0,5,98,63,0,0
22,2015-08-20T15:48:34,2412000000,22000000,2251522144703808562,-88.0,1,71,86,0,0
22,2015-08-20T15:48:34,2412000000,22000000,3840169614769521742,-33.0,6,35,34,0,0
22,2015-08-20T15:48:34,2412000000,22000000,2412244974914897032,-58.0,2,101,62,0,0
23,2015-08-20T15:48:35,2412000000,22000000,2412244974914897032,-76.0,2,50,79,0,0
23,2015-08-20T15:48:35,2412000000,22000000,3840169614833681540,-67.0526351929,5,91,64,0,0
23,2015-08-20T15:48:35,2412000000,22000000,3840169614827193480,-59.5999984741,5,97,63,0,0
23,2015-08-20T15:48:35,2412000000,22000000,2848812985857999950,-37.8400001526,5,34,33,0,0
23,2015-08-20T15:48:35,2412000000,22000000,2370023311762457650,-88.0,1,71,86,0,0
23,2015-08-20T15:48:35,2412000000,22000000,3840169614769521742,-34.1176452637,6,35,35,0,0
23,2015-08-20T15:48:35,2412000000,22000000,2708356959627183185,-64.0,2,71,13,0,0
23,2015-08-20T15:48:35,2412000000,22000000,3840169614793180210,-90.0,1,102,63,0,0
23,2015-08-20T15:48:35,2412000000,22000000,2368052961132020814,-48.0,3,35,18,0,0
23,2015-08-20T15:48:35,2412000000,22000000,2249551794131043464,-77.0833358765,2,55,81,0,0
23,2015-08-20T15:48:35,2412000000,22000000,2824887591420429448,-60.0,2,100,64,0,0
23,2015-08-20T15:48:35,2412000000,22000000,3840169614836171867,-92.0,1,102,63,0,0
24,2015-08-20T15:48:35,2412000000,22000000,3840169614833681540,-66.6530609131,4,93,64,0,0
24,2015-08-20T15:48:35,2412000000,22000000,3840169614827193480,-56.7999992371,5,99,63,0,0
24,2015-08-20T15:48:35,2412000000,22000000,2368052961132020814,-34.0,2,35,36,0,0
24,2015-08-20T15:48:35,2412000000,22000000,2708356959627183185,-78.0,1,37,34,0,0
24,2015-08-20T15:48:35,2412000000,22000000,3840169614769521742,-34.0,6,36,34,0,0
24,2015-08-20T15:48:35,2412000000,22000000,2824887591420429448,-60.0,2,100,64,0,0
25,2015-08-20T15:48:35,2412000000,22000000,2670921200066495624,-58.0,3,99,64,0,0
25,2015-08-20T15:48:35,2412000000,22000000,2293743807856247944,-58.0,4,99,63,0,0
25,2015-08-20T15:48:35,2412000000,22000000,2249551794131043464,-56.6666679382,4,99,63,0,0
25,2015-08-20T15:48:35,2412000000,22000000,3840169614769521742,-32.0,6,35,34,0,0
25,2015-08-20T15:48:35,2412000000,22000000,3840169614827193480,-57.8888893127,5,98,63,0,0
25,2015-08-20T15:48:35,2412000000,22000000,3840169614833681540,-66.51612854,5,94,63,0,0
