TCODE,TIMESTAMP,TXID,FREQ,BW,AMP,DEVCNT,X,Y,Z
10,2015-07-31T16:42:08,41824285,500008800,4880,0,1,-73.90,62.15,8.00
10,2015-07-31T16:42:08,10566841,500012480,9761,0,1,-73.90,62.15,8.00
10,2015-07-31T16:42:08,49508310,503847872,10923,0,1,-64.95,62.71,8.00
10,2015-07-31T16:42:08,108048,528430496,14266,0,1,-81.22,59.83,8.00
10,2015-07-31T16:42:08,66502754,539807232,4880,0,1,-73.90,62.15,8.00
10,2015-07-31T16:42:08,6590935,539870656,9761,0,2,-81.36,42.59,8.00
10,2015-07-31T16:42:08,30136159,539935360,14642,0,2,-79.76,46.77,8.00
10,2015-07-31T16:42:08,26366415,539999296,13247,0,1,-78.00,51.40,8.00
10,2015-07-31T16:42:08,64847492,540062720,14642,0,2,-79.55,47.34,8.00
10,2015-07-31T16:42:08,63382935,540127872,9761,0,2,-81.30,42.73,8.00
10,2015-07-31T16:42:08,54718731,540188864,4880,0,1,-78.18,50.92,8.00
10,2015-07-31T16:42:08,41153804,552997120,12608,0,1,-67.22,57.44,8.00
10,2015-07-31T16:42:08,27354086,577580544,15727,0,3,-75.45,75.37,8.00
10,2015-07-31T16:42:08,19973506,589866048,9761,0,1,-102.89,95.06,8.00
10,2015-07-31T16:42:08,57986540,589864832,4880,0,1,-102.89,95.06,8.00
11,2015-07-31T16:42:09,4111211,500017344,29283,0,1,-73.90,62.15,8.00
11,2015-07-31T16:42:09,41824285,500008800,4880,0,1,-73.90,62.15,8.00
11,2015-07-31T16:42:09,10566841,500012480,9761,0,1,-73.90,62.15,8.00
11,2015-07-31T16:42:09,49508310,503847968,11196,0,1,-65.07,58.96,8.00
11,2015-07-31T16:42:09,108048,528431296,13666,0,1,-78.38,55.79,8.00
11,2015-07-31T16:42:09,66502754,539807232,4880,0,1,-73.90,62.15,8.00
11,2015-07-31T16:42:09,6590935,539870656,9761,0,2,-81.36,42.59,8.00
11,2015-07-31T16:42:09,30136159,539935360,14642,0,2,-79.76,46.77,8.00
11,2015-07-31T16:42:09,26366415,539999296,13247,0,1,-78.00,51.40,8.00
11,2015-07-31T16:42:09,64847492,540062720,14642,0,2,-79.55,47.34,8.00
11,2015-07-31T16:42:09,63382935,540127872,9761,0,2,-81.30,42.73,8.00
11,2015-07-31T16:42:09,54718731,540188864,4880,0,1,-78.18,50.92,8.00
11,2015-07-31T16:42:09,41153804,552997696,13015,0,1,-64.69,52.93,8.00
11,2015-07-31T16:42:09,27354086,577580544,15557,0,1,-71.11,69.14,8.00
11,2015-07-31T16:42:09,19973506,589866048,9761,0,1,-102.89,95.06,8.00
11,2015-07-31T16:42:09,57986540,589864576,4880,0,1,-91.02,77.66,8.00
12,2015-07-31T16:42:09,4111211,500017344,29283,0,1,-73.90,62.15,8.00
12,2015-07-31T16:42:09,41824285,500008800,4880,0,1,-73.90,62.15,8.00
12,2015-07-31T16:42:09,10566841,500012480,9761,0,1,-73.90,62.15,8.00
12,2015-07-31T16:42:09,49508310,503848128,11639,0,1,-65.50,54.53,8.00
12,2015-07-31T16:42:09,108048,528431136,13557,0,1,-74.31,49.45,8.00
12,2015-07-31T16:42:09,66502754,539807232,4880,0,1,-73.90,62.15,8.00
12,2015-07-31T16:42:09,6590935,539870656,9761,0,2,-81.36,42.59,8.00
12,2015-07-31T16:42:09,30136159,539935360,14642,0,2,-79.76,46.77,8.00
12,2015-07-31T16:42:09,26366415,539999296,13247,0,1,-78.00,51.40,8.00
12,2015-07-31T16:42:09,64847492,540062720,14642,0,2,-79.55,47.34,8.00
12,2015-07-31T16:42:09,63382935,540127872,9761,0,2,-81.30,42.73,8.00
12,2015-07-31T16:42:09,54718731,540188864,4880,0,1,-78.18,50.92,8.00
12,2015-07-31T16:42:09,41153804,552996224,11931,0,1,-60.65,37.23,8.00
12,2015-07-31T16:42:09,27354086,577580928,15392,0,1,-69.53,61.90,8.00
12,2015-07-31T16:42:09,19973506,589866048,9761,0,1,-102.89,95.06,8.00
12,2015-07-31T16:42:09,57986540,589864576,4880,0,1,-79.16,60.26,8.00
13,2015-07-31T16:42:09,4111211,500017344,29283,0,1,-73.90,62.15,8.00
13,2015-07-31T16:42:09,41824285,500008800,4880,0,1,-73.90,62.15,8.00
13,2015-07-31T16:42:09,10566841,500012480,9761,0,1,-73.90,62.15,8.00
13,2015-07-31T16:42:09,49508310,503848448,12472,0,1,-61.50,41.81,8.00
13,2015-07-31T16:42:09,108048,528431712,13248,0,1,-62.23,36.26,8.00
13,2015-07-31T16:42:09,66502754,539807232,4880,0,1,-73.90,62.15,8.00
13,2015-07-31T16:42:09,6590935,539870656,9761,0,2,-81.36,42.59,8.00
13,2015-07-31T16:42:09,30136159,539935360,14642,0,2,-79.76,46.77,8.00
13,2015-07-31T16:42:09,26366415,539999296,13247,0,1,-78.00,51.40,8.00
13,2015-07-31T16:42:09,64847492,540062720,14642,0,2,-79.55,47.34,8.00
13,2015-07-31T16:42:09,63382935,540127872,9761,0,2,-81.30,42.73,8.00
13,2015-07-31T16:42:09,54718731,540188864,4880,0,1,-78.18,50.92,8.00
13,2015-07-31T16:42:09,41153804,552996480,12473,0,1,-54.90,37.46,8.00
13,2015-07-31T16:42:09,27354086,577581056,13178,0,1,-68.19,53.91,8.00
13,2015-07-31T16:42:09,19973506,589866048,9761,0,1,-102.89,95.06,8.00
13,2015-07-31T16:42:09,57986540,589864576,4880,0,1,-79.16,60.26,8.00
14,2015-07-31T16:42:09,4111211,500017344,29283,0,1,-73.90,62.15,8.00
14,2015-07-31T16:42:09,41824285,500008800,4880,0,1,-73.90,62.15,8.00
14,2015-07-31T16:42:09,10566841,500012480,9761,0,1,-73.90,62.15,8.00
14,2015-07-31T16:42:09,49508310,503848704,9761,0,1,-43.56,8.07,8.00
14,2015-07-31T16:42:09,108048,528431776,11714,0,1,-43.56,8.07,8.00
14,2015-07-31T16:42:09,66502754,539807232,4880,0,1,-73.90,62.15,8.00
14,2015-07-31T16:42:09,6590935,539870656,9761,0,2,-81.36,42.59,8.00
14,2015-07-31T16:42:09,30136159,539935360,14642,0,2,-79.76,46.77,8.00
14,2015-07-31T16:42:09,26366415,539999296,13247,0,1,-78.00,51.40,8.00
14,2015-07-31T16:42:09,64847492,540062720,14642,0,2,-79.55,47.34,8.00
14,2015-07-31T16:42:09,63382935,540127872,9761,0,2,-81.30,42.73,8.00
14,2015-07-31T16:42:09,54718731,540188864,4880,0,1,-78.18,50.92,8.00
14,2015-07-31T16:42:09,41153804,552997824,8784,0,1,-43.56,8.07,8.00
14,2015-07-31T16:42:09,27354086,577581312,11853,0,1,-57.28,37.28,8.00
14,2015-07-31T16:42:09,19973506,589866048,9761,0,1,-102.89,95.06,8.00
14,2015-07-31T16:42:09,57986540,589864576,4880,0,1,-79.16,60.26,8.00
15,2015-07-31T16:42:09,4111211,500017344,29283,0,1,-73.90,62.15,8.00
15,2015-07-31T16:42:09,41824285,500008800,4880,0,1,-73.90,62.15,8.00
15,2015-07-31T16:42:09,10566841,500012480,9761,0,1,-73.90,62.15,8.00
15,2015-07-31T16:42:09,49508310,503848704,9761,0,1,-43.56,8.07,8.00
15,2015-07-31T16:42:09,108048,528431296,10737,0,1,-43.56,8.07,8.00
15,2015-07-31T16:42:09,66502754,539807232,4880,0,1,-73.90,62.15,8.00
15,2015-07-31T16:42:09,6590935,539870656,9761,0,2,-81.36,42.59,8.00
15,2015-07-31T16:42:09,30136159,539935360,14642,0,2,-79.76,46.77,8.00
15,2015-07-31T16:42:09,26366415,539999296,13247,0,1,-78.00,51.40,8.00
15,2015-07-31T16:42:09,64847492,540062720,14642,0,2,-79.55,47.34,8.00
15,2015-07-31T16:42:09,63382935,540127872,9761,0,2,-81.30,42.73,8.00
15,2015-07-31T16:42:09,54718731,540188864,4880,0,1,-78.18,50.92,8.00
15,2015-07-31T16:42:09,41153804,552997824,8784,0,1,-43.56,8.07,8.00
15,2015-07-31T16:42:09,27354086,577581824,8785,0,1,-43.56,8.07,8.00
15,2015-07-31T16:42:09,19973506,589866048,9761,0,1,-102.89,95.06,8.00
15,2015-07-31T16:42:09,57986540,589864576,4880,0,1,-79.16,60.26,8.00
16,2015-07-31T16:42:09,4111211,500017344,29283,0,1,-73.90,62.15,8.00
16,2015-07-31T16:42:09,41824285,500008800,4880,0,1,-73.90,62.15,8.00
16,2015-07-31T16:42:09,10566841,500012480,9761,0,1,-73.90,62.15,8.00
16,2015-07-31T16:42:09,49508310,503848704,9761,0,1,-43.56,8.07,8.00
16,2015-07-31T16:42:09,108048,528431296,10737,0,1,-43.56,8.07,8.00
16,2015-07-31T16:42:09,66502754,539807232,4880,0,1,-73.90,62.15,8.00
16,2015-07-31T16:42:09,6590935,539870656,9761,0,2,-81.36,42.59,8.00
16,2015-07-31T16:42:09,30136159,539935360,14642,0,2,-79.76,46.77,8.00
16,2015-07-31T16:42:09,26366415,539999296,13247,0,1,-78.00,51.40,8.00
16,2015-07-31T16:42:09,64847492,540062720,14642,0,2,-79.55,47.34,8.00
16,2015-07-31T16:42:09,63382935,540127872,9761,0,2,-81.30,42.73,8.00
16,2015-07-31T16:42:09,54718731,540188864,4880,0,1,-78.18,50.92,8.00
16,2015-07-31T16:42:09,41153804,552997824,8784,0,1,-43.56,8.07,8.00
16,2015-07-31T16:42:09,27354086,577581824,8785,0,1,-43.56,8.07,8.00
16,2015-07-31T16:42:09,19973506,589866048,9761,0,1,-102.89,95.06,8.00
16,2015-07-31T16:42:09,57986540,589864576,4880,0,1,-79.16,60.26,8.00
17,2015-07-31T16:42:09,4111211,500017344,29283,0,1,-73.90,62.15,8.00
17,2015-07-31T16:42:09,41824285,500008800,4880,0,1,-73.90,62.15,8.00
17,2015-07-31T16:42:09,10566841,500012480,9761,0,1,-73.90,62.15,8.00
17,2015-07-31T16:42:09,49508310,503848704,9761,0,1,-43.56,8.07,8.00
17,2015-07-31T16:42:09,108048,528431776,9761,0,1,-43.56,8.07,8.00
17,2015-07-31T16:42:09,66502754,539807232,4880,0,1,-73.90,62.15,8.00
17,2015-07-31T16:42:09,6590935,539870656,9761,0,2,-81.36,42.59,8.00
17,2015-07-31T16:42:09,30136159,539935360,14642,0,2,-79.76,46.77,8.00
17,2015-07-31T16:42:09,26366415,539999296,13247,0,1,-78.00,51.40,8.00
17,2015-07-31T16:42:09,64847492,540062720,14642,0,2,-79.55,47.34,8.00
17,2015-07-31T16:42:09,63382935,540127872,9761,0,2,-81.30,42.73,8.00
17,2015-07-31T16:42:09,54718731,540188864,4880,0,1,-78.18,50.92,8.00
17,2015-07-31T16:42:09,41153804,552997824,8784,0,1,-43.56,8.07,8.00
17,2015-07-31T16:42:09,27354086,577581824,8785,0,1,-43.56,8.07,8.00
17,2015-07-31T16:42:09,19973506,589866048,9761,0,1,-102.89,95.06,8.00
17,2015-07-31T16:42:09,57986540,589864576,4880,0,1,-79.16,60.26,8.00
18,2015-07-31T16:42:09,4111211,500017344,29283,0,1,-73.90,62.15,8.00
18,2015-07-31T16:42:09,41824285,500008800,4880,0,1,-73.90,62.15,8.00
18,2015-07-31T16:42:09,10566841,500012480,9761,0,1,-73.90,62.15,8.00
18,2015-07-31T16:42:09,49508310,503848704,9761,0,1,-43.56,8.07,8.00
18,2015-07-31T16:42:09,108048,528432288,8785,0,1,-43.56,8.07,8.00
18,2015-07-31T16:42:09,66502754,539807232,4880,0,1,-73.90,62.15,8.00
18,2015-07-31T16:42:09,6590935,539870656,9761,0,2,-81.36,42.59,8.00
18,2015-07-31T16:42:09,30136159,539935360,14642,0,2,-79.76,46.77,8.00
18,2015-07-31T16:42:09,26366415,539999296,13247,0,1,-78.00,51.40,8.00
18,2015-07-31T16:42:09,64847492,540062720,14642,0,2,-79.55,47.34,8.00
18,2015-07-31T16:42:09,63382935,540127872,9761,0,2,-81.30,42.73,8.00
18,2015-07-31T16:42:09,54718731,540188864,4880,0,1,-78.18,50.92,8.00
18,2015-07-31T16:42:09,41153804,552997824,8784,0,1,-43.56,8.07,8.00
18,2015-07-31T16:42:09,27354086,577581824,8785,0,1,-43.56,8.07,8.00
18,2015-07-31T16:42:09,19973506,589866048,9761,0,1,-102.89,95.06,8.00
18,2015-07-31T16:42:09,57986540,589864576,4880,0,1,-79.16,60.26,8.00
19,2015-07-31T16:42:10,4111211,500017344,29283,0,1,-73.90,62.15,8.00
19,2015-07-31T16:42:10,41824285,500008800,4880,0,1,-73.90,62.15,8.00
19,2015-07-31T16:42:10,10566841,500012480,9761,0,1,-73.90,62.15,8.00
19,2015-07-31T16:42:10,49508310,503848704,9761,0,1,-43.56,8.07,8.00
19,2015-07-31T16:42:10,108048,528432288,8785,0,1,-43.56,8.07,8.00
19,2015-07-31T16:42:10,66502754,539807232,4880,0,1,-73.90,62.15,8.00
19,2015-07-31T16:42:10,6590935,539870656,9761,0,2,-81.36,42.59,8.00
19,2015-07-31T16:42:10,30136159,539935360,14642,0,2,-79.76,46.77,8.00
19,2015-07-31T16:42:10,26366415,539999296,13247,0,1,-78.00,51.40,8.00
19,2015-07-31T16:42:10,64847492,540062720,14642,0,2,-79.55,47.34,8.00
19,2015-07-31T16:42:10,63382935,540127872,9761,0,2,-81.30,42.73,8.00
19,2015-07-31T16:42:10,54718731,540188864,4880,0,1,-78.18,50.92,8.00
19,2015-07-31T16:42:10,41153804,552997824,8784,0,1,-43.56,8.07,8.00
19,2015-07-31T16:42:10,27354086,577581824,8785,0,1,-43.56,8.07,8.00
19,2015-07-31T16:42:10,19973506,589866048,9761,0,1,-102.89,95.06,8.00
19,2015-07-31T16:42:10,57986540,589864576,4880,0,1,-79.16,60.26,8.00
20,2015-07-31T16:42:11,4111211,500017344,29283,0,1,-73.90,62.15,8.00
20,2015-07-31T16:42:11,41824285,500008800,4880,0,1,-73.90,62.15,8.00
20,2015-07-31T16:42:11,10566841,500012480,9761,0,1,-73.90,62.15,8.00
20,2015-07-31T16:42:11,49508310,503848704,9761,0,1,-43.56,8.07,8.00
20,2015-07-31T16:42:11,108048,528432768,9761,0,1,-43.56,8.07,8.00
20,2015-07-31T16:42:11,66502754,539807232,4880,0,1,-73.90,62.15,8.00
20,2015-07-31T16:42:11,6590935,539870656,9761,0,2,-81.36,42.59,8.00
20,2015-07-31T16:42:11,30136159,539935360,14642,0,2,-79.76,46.77,8.00
20,2015-07-31T16:42:11,26366415,539999296,13247,0,1,-78.00,51.40,8.00
20,2015-07-31T16:42:11,64847492,540062720,14642,0,2,-79.55,47.34,8.00
20,2015-07-31T16:42:11,63382935,540127872,9761,0,2,-81.30,42.73,8.00
20,2015-07-31T16:42:11,54718731,540188864,4880,0,1,-78.18,50.92,8.00
20,2015-07-31T16:42:11,41153804,552997824,8784,0,1,-43.56,8.07,8.00
20,2015-07-31T16:42:11,27354086,577581312,9761,0,1,-43.56,8.07,8.00
